,Unnamed: 0,NEWSUID,SCID,PROP,CLAF,PRID,Drain,DrainNum,Layer,TopDep,BotDep,CFRAG,CFRAG_std,SDTO,SDTO_std,STPC,STPC_std,CLPC,CLPC_std,PSCL,BULK,BULK_std,TAWC,TAWC_std,ORGC,ORGC_std,TOTN,TOTN_std,CNrt,CNrt_std,CECS,CECS_std,CECc,CECc_std,ECEC,ECEC_std,TEB,TEB_std,BSAT,BSAT_std,ALSA,ALSA_std,ESP,ESP_std,PHAQ,PHAQ_std,TCEQ,TCEQ_std,GYPS,GYPS_std,ELCO,ELCO_std,clay,STPCw,SDTOw,clayw,ORGCw,theta1500t,theta1500,SMW,theta33t,theta33,SMFCF,SAR,log10-k,K0,SOPE,KSUB,center,code_soil,lat,long,indi
193,136958,WD20004676,3,10,"""KSl""","""KSl/B""","""W""",5,"""D1""",0,20,19,16.0,39.0,19.0,38.0,14.0,23,10.0,"""M""",1.45000005,0.14000000099999999,15,3.0,14.1800003,6.13999987,1.36000001,0.560000002,11.0,2.0,20,6.0,67,13.0,23.0,9.0,23.0,9.0,97,4.0,0,0.0,1.0,1.0,7.0,0.600000024,27.0,20.0,1.0,0.0,1,0.300000012,23.0,0.38,0.39,0.23,0.0141800003,0.13981993280148794,0.13939472339369627,0.13939472339369627,0.286605503402139,0.2698041479363838,0.2698041479363838,1.5390515322718714,-0.2453722423243889,0.56836556472724,107.80166399999999,72.52111941818181,"[-110.34583361195, 40.82083294610311]",4676,-110.34583361195,40.82083294610311,277.4098109478716
194,181764,WD20004676,2,30,"""LVa""","""LVa/B""","""M""",4,"""D1""",0,20,14,12.0,55.0,31.0,27.0,21.0,18,15.0,"""M""",1.5,0.17000000199999998,16,8.0,10.25,7.36000013,1.41999996,0.7099999790000001,14.0,4.0,15,11.0,45,5.0,17.0,10.0,17.0,10.0,86,10.0,0,0.0,4.0,5.0,6.4000001,0.5,0.0,0.0,1.0,0.0,1,0.800000012,18.0,0.27,0.55,0.18,0.01025,0.1122577025,0.10797378084999996,0.10797378084999996,0.24089476,0.21025297592237208,0.21025297592237208,3.705790960451978,-0.03184706675260434,0.929293572294549,143.21942400000003,96.34761250909092,"[-110.34583361195, 40.82083294610311]",4676,-110.34583361195,40.82083294610311,234.23272330436978
195,32742,WD40004678,1,60,"""CHh""","""CHh/D""","""W""",5,"""D1""",0,20,15,12.0,33.0,21.0,44.0,16.0,23,10.0,"""M""",1.28999996,0.189999998,14,4.0,32.2799988,15.8999996,2.63000011,1.12,12.0,2.0,26,9.0,65,16.0,26.0,10.0,26.0,10.0,93,8.0,0,0.0,1.0,0.0,6.5999999,0.699999988,0.0,0.0,8.0,7.0,1,0.600000024,23.0,0.44,0.33,0.23,0.0322799988,0.14040162479440801,0.1400578522656251,0.1400578522656251,0.295545335591876,0.2820776393160314,0.2820776393160314,1.5390515322718714,-0.2516107591736094,0.5602595148015208,95.000064,63.90913396363635,"[-101.46250031415, 49.095832913003115]",4678,-101.46250031415,49.095832913003115,3963.9758213528467
196,33927,WD40004678,3,20,"""CHk""","""CHk/D""","""W""",5,"""D1""",0,20,4,3.0,29.0,22.0,43.0,18.0,28,10.0,"""M""",1.33000004,0.159999996,14,4.0,23.270000500000002,8.77999973,2.19000006,0.7300000190000001,10.0,2.0,26,8.0,63,14.0,34.0,14.0,34.0,14.0,98,3.0,0,0.0,1.0,0.0,7.4000001,0.600000024,69.0,73.0,8.0,7.0,1,0.600000024,28.0,0.43,0.29,0.28,0.0232700005,0.166010258701905,0.1692516949201717,0.1692516949201717,0.31763293860259006,0.31328096673348266,0.31328096673348266,1.5390515322718714,-0.4726980864950727,0.3367455873381688,85.18550400000001,57.30661178181818,"[-101.46250031415, 49.095832913003115]",4678,-101.46250031415,49.095832913003115,3937.8271521662778
197,119231,WD40004678,2,20,"""GLm""","""GLm/D""","""P""",2,"""D1""",0,20,1,1.0,31.0,22.0,41.0,14.0,28,17.0,"""M""",1.11000001,0.370000005,19,5.0,65.6900024,55.29999920000001,4.5999999,2.6500001,11.0,3.0,35,19.0,51,29.0,33.0,20.0,34.0,22.0,87,16.0,0,0.0,2.0,1.0,6.69999981,0.800000012,0.0,0.0,1.0,0.0,1,0.699999988,28.0,0.41,0.31,0.28,0.0656900024,0.16607924790938405,0.16933034261669774,0.16933034261669774,0.31537175701272,0.3100290596805778,0.3100290596805778,2.2465582843306815,-0.4816633197602696,0.3298653362016125,89.452704,60.17727360000001,"[-101.46250031415, 49.095832913003115]",4678,-101.46250031415,49.095832913003115,3967.8364234503056
198,32741,WD40004679,1,60,"""CHh""","""CHh/D""","""W""",5,"""D1""",0,20,15,12.0,33.0,21.0,44.0,16.0,23,10.0,"""M""",1.28999996,0.189999998,14,4.0,32.2799988,15.8999996,2.63000011,1.12,12.0,2.0,26,9.0,65,16.0,26.0,10.0,26.0,10.0,93,8.0,0,0.0,1.0,0.0,6.5999999,0.699999988,0.0,0.0,8.0,7.0,1,0.600000024,23.0,0.44,0.33,0.23,0.0322799988,0.14040162479440801,0.1400578522656251,0.1400578522656251,0.295545335591876,0.2820776393160314,0.2820776393160314,1.5390515322718714,-0.2516107591736094,0.5602595148015208,95.000064,63.90913396363635,"[-105.67916696395, 38.98749962010311]",4679,-105.67916696395,38.98749962010311,644.4292708064189
199,194575,WD40004679,3,20,"""LVh""","""LVh/D""","""W""",5,"""D1""",0,20,7,7.0,31.0,23.0,50.0,19.0,19,10.0,"""M""",1.48000002,0.159999996,17,4.0,15.989999800000001,8.46000004,1.69000006,0.829999983,11.0,3.0,15,6.0,47,18.0,13.0,6.0,13.0,6.0,80,21.0,0,0.0,1.0,1.0,6.0,0.699999988,0.0,0.0,1.0,0.0,1,1.0,19.0,0.5,0.31,0.19,0.015989999799999998,0.120176429198984,0.11700112928684175,0.11700112928684175,0.284986402698454,0.2676032194838481,0.2676032194838481,1.5390515322718714,-0.07805279899443163,0.8355014366565605,91.75699200000001,61.72743098181817,"[-105.67916696395, 38.98749962010311]",4679,-105.67916696395,38.98749962010311,566.370736518094
200,270189,WD40004679,2,20,"""RGe""","""RGe/D""","""S""",6,"""D1""",0,20,19,14.0,50.0,25.0,33.0,16.0,17,12.0,"""M""",1.50999999,0.189999998,15,6.0,13.869999900000002,9.53999996,1.37,0.889999986,13.0,3.0,15,7.0,65,25.0,24.0,14.0,21.0,14.0,95,9.0,0,0.0,2.0,1.0,7.0,0.8999999759999999,17.0,12.0,29.0,34.0,1,0.699999988,17.0,0.33,0.5,0.17,0.0138699999,0.107657242299371,0.10272925622128294,0.10272925622128294,0.24520051669905898,0.21563370887232086,0.21563370887232086,2.2465582843306815,0.0247889151169748,1.0587390096346052,132.807456,89.34319767272726,"[-105.67916696395, 38.98749962010311]",4679,-105.67916696395,38.98749962010311,641.3628776157461
201,33925,WD40004682,1,70,"""CHk""","""CHk/D""","""W""",5,"""D1""",0,20,4,3.0,29.0,22.0,43.0,18.0,28,10.0,"""M""",1.33000004,0.159999996,14,4.0,23.270000500000002,8.77999973,2.19000006,0.7300000190000001,10.0,2.0,26,8.0,63,14.0,34.0,14.0,34.0,14.0,98,3.0,0,0.0,1.0,0.0,7.4000001,0.600000024,69.0,73.0,8.0,7.0,1,0.600000024,28.0,0.43,0.29,0.28,0.0232700005,0.166010258701905,0.1692516949201717,0.1692516949201717,0.31763293860259006,0.31328096673348266,0.31328096673348266,1.5390515322718714,-0.4726980864950727,0.3367455873381688,85.18550400000001,57.30661178181818,"[-97.24583366435, 48.22083291650311]",4682,-97.24583366435,48.22083291650311,4087.917519375124
202,119211,WD40004682,2,30,"""GLm""","""GLm/D""","""P""",2,"""D1""",0,20,1,1.0,31.0,22.0,41.0,14.0,28,17.0,"""M""",1.11000001,0.370000005,19,5.0,65.6900024,55.29999920000001,4.5999999,2.6500001,11.0,3.0,35,19.0,51,29.0,33.0,20.0,34.0,22.0,87,16.0,0,0.0,2.0,1.0,6.69999981,0.800000012,0.0,0.0,1.0,0.0,1,0.699999988,28.0,0.41,0.31,0.28,0.0656900024,0.16607924790938405,0.16933034261669774,0.16933034261669774,0.31537175701272,0.3100290596805778,0.3100290596805778,2.2465582843306815,-0.4816633197602696,0.3298653362016125,89.452704,60.17727360000001,"[-97.24583366435, 48.22083291650311]",4682,-97.24583366435,48.22083291650311,4108.329018773108
